time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
47610.0,52956.0,120.01921000000002,18.900146,33000.0,130.31824000000003,28.258118,33000.0
904.0,6300.0,120.010404,18.892714,35000.0,129.347965,28.943994,37000.0
32599.0,42267.0,120.001205,14.656832,12700.0,120.014938,14.700126,23525.0
28373.0,40458.0,120.027466,13.863024,16450.0,120.02937599999998,14.439331,24950.0
50317.0,60382.0,120.02037799999998,13.864059,21700.0,120.004325,14.437270999999996,23075.0
41803.0,43853.0,120.026406,13.863303,24375.0,120.989922,14.492203,350.0
53583.0,55865.0,120.00122600000002,23.91989,27000.0,124.945281,27.786026,28975.0
62490.0,66149.0,124.84583341,29.79318237,38000.0,120.00579799999998,24.029388,38000.0
8146.0,11216.0,125.269345,28.021049,34025.0,120.004958,23.923288,34000.0
54105.0,57132.0,125.173645,27.940234,34000.0,120.001017,24.064087,34000.0
3794.0,7118.0,125.274945,28.025006,40000.0,120.00729,23.925429999999995,40000.0
37069.0,77417.0,124.661596,29.460258,40000.0,124.940168,29.365814,41000.0
42740.0,42790.0,142.60750217999998,12.179136110000002,39000.0,142.6851733,12.244262699999997,39000.0
46095.0,46125.0,144.80927316999998,13.49424847,,144.80927316999998,13.49426011,
29225.0,32369.0,125.057426,27.889911,38000.0,120.003766,23.922264,38000.0
70319.0,73773.0,124.701987,29.4104,38000.0,120.00418,23.922683,38000.0
39339.0,47982.0,120.007469,13.865491000000002,21925.0,120.001484,14.437042,34025.0
36583.0,46491.0,120.00117,23.032371,37000.0,120.001641,23.591697,38000.0
52105.0,61298.0,120.005526,16.169501,32375.0,120.002904,14.437270999999996,20600.0
61784.0,63273.0,120.00558,26.870407,41100.0,121.270101,29.874573,22550.0
18539.0,61350.0,124.669997,29.485628999999992,37950.0,124.42145852,28.46143302,39000.0
61078.0,64515.0,120.001322,23.437934,29000.0,127.60350741,29.274261470000003,31000.0
69370.0,71964.0,120.01297,23.4492,31000.0,125.574628,27.822969,31000.0
29674.0,32360.0,120.000559,23.238272,31000.0,125.746712,27.946014,31000.0
0.0,64600.0,120.519765,24.378342,40000.0,128.30690271999998,29.76112495,33000.0
2.0,332.0,126.604397,5.911148000000001,35000.0,127.035196,5.355463,35000.0
43285.0,46668.0,125.207748,28.061646,,120.003052,23.921721999999995,40000.0
45312.0,55439.0,120.004846,13.865845000000002,22575.0,120.004722,14.437432,24050.0
51265.0,70934.0,123.837996,27.976501,36000.0,124.925062,29.328369,39000.0
37978.0,77238.0,124.651956,29.475294,,124.94196300000004,29.370412,36975.0
57978.0,61556.0,124.726357,29.467941,,120.002211,24.057126,38000.0
37151.0,70416.0,124.646917,29.44606,38000.0,124.89764,29.259804000000003,39000.0
51533.0,76246.0,123.588744,27.520054,39975.0,124.889455,29.239461,37000.0
10.0,37490.0,121.498769,22.875258,40000.0,124.832048,29.368378,34975.0
26933.0,66624.0,124.708029,29.423996,39975.0,124.86838699999998,28.12674,38975.0
40290.0,65256.0,127.400046,29.002463,37950.0,124.890478,29.241881000000003,39000.0
34831.0,86399.0,124.71405,29.439102,,120.363672,23.931993,35000.0
74143.0,77261.0,120.006858,23.443863,39000.0,124.916135,29.305801,39000.0
74755.0,86399.0,124.719759,29.452437,36000.0,121.665239,25.83179,26700.0
52845.0,70695.0,123.774297,28.037979000000004,38000.0,124.056109,28.055079,37000.0
77403.0,81159.0,124.720513,29.454299,38000.0,121.23558,25.07539,50.0
48775.0,86211.0,124.88740187,29.84751892,38000.0,124.901356,29.269161,41000.0
39949.0,80257.0,124.636931,29.448806,36000.0,124.915132,29.303421,35000.0
54797.0,75973.0,124.616466,29.412821,36000.0,123.965079,27.951965000000005,33000.0
57844.0,66349.0,127.72029,29.053802,32000.0,120.018058,12.094666,32000.0
57111.0,79321.0,124.725467,29.46603,37975.0,124.91169900000004,29.295044,38975.0
5815.0,39438.0,124.706134,29.420269,,124.828139,29.305161,35000.0
83441.0,85847.0,120.004811,23.441254,39000.0,124.001662,27.993816,39000.0
42282.0,63635.0,127.46316300000002,28.972715999999995,38000.0,124.919304,29.313904000000004,37000.0
71887.0,73712.0,120.00161500000002,23.43837,39000.0,123.02838799999998,26.823912,39000.0
44119.0,75561.0,123.903862,28.114200000000004,34025.0,123.894843,27.873962,35025.0
12579.0,21529.0,120.127017,13.900079,15475.0,120.002554,12.925787,35975.0
67372.0,72349.0,120.003762,18.887407,40725.0,125.420622,28.96997,41000.0
9769.0,18262.0,131.71928499999996,26.355743,34000.0,120.003141,12.077133,40000.0
16199.0,24881.0,131.75126,26.390717,38000.0,120.000723,12.21028,40000.0
6084.0,56967.0,121.019271,14.509215,300.0,120.992432,14.493576,225.0
1888.0,42370.0,121.029149,14.514103,775.0,120.988529,14.491479,350.0
0.0,45201.0,122.356915,10.97905,33000.0,120.992005,14.493347,250.0
0.0,86035.0,123.804032,12.228699,34975.0,122.21056500000002,13.584176,25050.0
2044.0,84815.0,121.029842,14.51445,575.0,120.992337,14.493576,225.0
22670.0,46434.0,121.078009,14.447766,4050.0,120.990395,14.492661,300.0
6915.0,49090.0,120.99963540000002,14.4987643,,121.00858588,14.505921699999998,
0.0,85904.0,121.031558,13.461138,19000.0,125.375464,9.501434,17000.0
80173.0,85904.0,121.01914,14.508591,375.0,125.370815,9.366776000000002,27000.0
42795.0,50666.0,136.79636101999998,15.730178829999998,36000.0,120.992574,14.493622,250.0
2534.0,7227.0,125.650729,7.304557999999999,9900.0,120.99195000000002,14.493294,200.0
33709.0,39611.0,125.117193,5.9478610000000005,5375.0,120.994889,14.495017,250.0
1445.0,38986.0,125.614266,7.469353000000001,13550.0,125.408699,7.27011,7600.0
599.0,86072.0,122.061918,6.920351,,123.370586,12.640422,31000.0
4781.0,59691.0,121.029653,14.514359,550.0,120.994745,14.494831,225.0
9.0,62532.0,120.934175,14.138612999999998,18825.0,130.341269,28.103897000000003,31000.0
16932.0,62360.0,125.06403,4.796539,38000.0,148.85824937000007,29.15611267,31000.0
1056.0,86392.0,123.783433,10.657288,14400.0,121.23495,14.330874,11600.0
540.0,86399.0,123.174591,13.627807999999998,24300.0,121.06061400000002,13.637477999999998,19375.0
4.0,25820.0,123.840917,8.225647,11525.0,125.02640297,11.22640228,
9156.0,85376.0,121.028042,14.513168,625.0,125.346711,10.248334999999996,20825.0
15473.0,60410.0,124.104588,10.178467,10925.0,125.397856,7.323166,6675.0
5391.0,24079.0,120.004867,16.170776,34800.0,120.002668,14.43718,20825.0
6.0,39027.0,121.204345,13.995804,13825.0,120.995036,14.495041,250.0
2641.0,57622.0,121.030209,14.514522,675.0,120.988143,14.4912,300.0
15929.0,54415.0,120.053052,13.844449,16375.0,120.992574,14.493713,200.0
18785.0,48745.0,123.97997969,10.314537050000002,,121.01742317,14.50903702,
6519.0,16540.0,121.03126900000002,14.515081,725.0,120.99408900000002,14.494492,225.0
23655.0,27070.0,121.00392392000002,14.50382685,,120.004192,14.437432,23975.0
10329.0,85397.0,120.000817,16.177787000000002,36025.0,122.967271,12.325653,33000.0
